=========================================================
    MATCHING ENGINE PERCENTILE PERFORMANCE JOURNAL
=========================================================
Tested Co Rank :  44 | Events in Slice:   18362 | P50 (Median):   71 cycles | P95:  147 cycles | P99.9:  1225 cycles | Max:  758640 cycles
Tested Co Rank :  45 | Events in Slice:   24534 | P50 (Median):   71 cycles | P95:  146 cycles | P99.9:  1218 cycles | Max:  758640 cycles
Tested Co Rank :  46 | Events in Slice:   24008 | P50 (Median):   71 cycles | P95:  146 cycles | P99.9:  1214 cycles | Max:  758640 cycles
Tested Co Rank :  47 | Events in Slice:   23615 | P50 (Median):   71 cycles | P95:  146 cycles | P99.9:  1209 cycles | Max:  758640 cycles
Tested Co Rank :  48 | Events in Slice:   23045 | P50 (Median):   71 cycles | P95:  146 cycles | P99.9:  1206 cycles | Max:  758640 cycles
Tested Co Rank :  49 | Events in Slice:   22313 | P50 (Median):   71 cycles | P95:  146 cycles | P99.9:  1202 cycles | Max:  758640 cycles
Tested Co Rank :  50 | Events in Slice:   22916 | P50 (Median):   71 cycles | P95:  146 cycles | P99.9:  1201 cycles | Max:  758640 cycles
Tested Co Rank :  51 | Events in Slice:   22902 | P50 (Median):   71 cycles | P95:  146 cycles | P99.9:  1199 cycles | Max:  758640 cycles
Tested Co Rank :  52 | Events in Slice:   22052 | P50 (Median):   71 cycles | P95:  146 cycles | P99.9:  1196 cycles | Max:  758640 cycles
Tested Co Rank :  53 | Events in Slice:   22248 | P50 (Median):   71 cycles | P95:  146 cycles | P99.9:  1192 cycles | Max:  758640 cycles
Tested Co Rank :  54 | Events in Slice:   20939 | P50 (Median):   71 cycles | P95:  145 cycles | P99.9:  1187 cycles | Max:  758640 cycles
Tested Co Rank :  55 | Events in Slice:   18592 | P50 (Median):   71 cycles | P95:  145 cycles | P99.9:  1190 cycles | Max:  758640 cycles
Tested Co Rank :  56 | Events in Slice:   15732 | P50 (Median):   71 cycles | P95:  145 cycles | P99.9:  1186 cycles | Max:  758640 cycles
Tested Co Rank :  57 | Events in Slice:   20132 | P50 (Median):   71 cycles | P95:  145 cycles | P99.9:  1182 cycles | Max:  758640 cycles
Tested Co Rank :  58 | Events in Slice:   19797 | P50 (Median):   71 cycles | P95:  145 cycles | P99.9:  1180 cycles | Max:  758640 cycles
Tested Co Rank :  59 | Events in Slice:   17985 | P50 (Median):   71 cycles | P95:  144 cycles | P99.9:  1178 cycles | Max:  758640 cycles
Tested Co Rank :  60 | Events in Slice:   17642 | P50 (Median):   71 cycles | P95:  145 cycles | P99.9:  1176 cycles | Max:  758640 cycles
Tested Co Rank :  61 | Events in Slice:   16996 | P50 (Median):   71 cycles | P95:  146 cycles | P99.9:  1178 cycles | Max:  758640 cycles
Tested Co Rank :  62 | Events in Slice:   19309 | P50 (Median):   71 cycles | P95:  146 cycles | P99.9:  1180 cycles | Max:  758640 cycles
Tested Co Rank :  63 | Events in Slice:   18685 | P50 (Median):   71 cycles | P95:  145 cycles | P99.9:  1176 cycles | Max:  758640 cycles
Tested Co Rank :  64 | Events in Slice:   19119 | P50 (Median):   71 cycles | P95:  145 cycles | P99.9:  1176 cycles | Max:  758640 cycles
Tested Co Rank :  65 | Events in Slice:   18759 | P50 (Median):   71 cycles | P95:  146 cycles | P99.9:  1174 cycles | Max:  758640 cycles
Tested Co Rank :  66 | Events in Slice:   15738 | P50 (Median):   71 cycles | P95:  146 cycles | P99.9:  1174 cycles | Max:  758640 cycles
Tested Co Rank :  67 | Events in Slice:   15078 | P50 (Median):   71 cycles | P95:  146 cycles | P99.9:  1172 cycles | Max:  758640 cycles
Tested Co Rank :  68 | Events in Slice:   16662 | P50 (Median):   71 cycles | P95:  146 cycles | P99.9:  1174 cycles | Max:  758640 cycles
Tested Co Rank :  69 | Events in Slice:   16158 | P50 (Median):   71 cycles | P95:  146 cycles | P99.9:  1172 cycles | Max:  758640 cycles
Tested Co Rank :  70 | Events in Slice:   14786 | P50 (Median):   71 cycles | P95:  147 cycles | P99.9:  1170 cycles | Max:  758640 cycles
Tested Co Rank :  71 | Events in Slice:   12802 | P50 (Median):   71 cycles | P95:  147 cycles | P99.9:  1168 cycles | Max:  758640 cycles
Tested Co Rank :  72 | Events in Slice:   17133 | P50 (Median):   71 cycles | P95:  147 cycles | P99.9:  1168 cycles | Max:  758640 cycles
Tested Co Rank :  73 | Events in Slice:   15155 | P50 (Median):   71 cycles | P95:  147 cycles | P99.9:  1166 cycles | Max:  758640 cycles
Tested Co Rank :  74 | Events in Slice:   15743 | P50 (Median):   71 cycles | P95:  147 cycles | P99.9:  1164 cycles | Max:  758640 cycles
Tested Co Rank :  75 | Events in Slice:   16810 | P50 (Median):   71 cycles | P95:  148 cycles | P99.9:  1163 cycles | Max:  758640 cycles
Tested Co Rank :  76 | Events in Slice:   13585 | P50 (Median):   71 cycles | P95:  148 cycles | P99.9:  1163 cycles | Max:  758640 cycles
Tested Co Rank :  77 | Events in Slice:   14692 | P50 (Median):   71 cycles | P95:  148 cycles | P99.9:  1161 cycles | Max:  758640 cycles
Tested Co Rank :  78 | Events in Slice:   13659 | P50 (Median):   71 cycles | P95:  148 cycles | P99.9:  1160 cycles | Max:  758640 cycles
Tested Co Rank :  79 | Events in Slice:   10217 | P50 (Median):   71 cycles | P95:  148 cycles | P99.9:  1162 cycles | Max:  758640 cycles
Tested Co Rank :  80 | Events in Slice:   14387 | P50 (Median):   71 cycles | P95:  148 cycles | P99.9:  1160 cycles | Max:  758640 cycles
Tested Co Rank :  81 | Events in Slice:   13746 | P50 (Median):   71 cycles | P95:  148 cycles | P99.9:  1160 cycles | Max:  758640 cycles
Tested Co Rank :  82 | Events in Slice:   16025 | P50 (Median):   71 cycles | P95:  148 cycles | P99.9:  1158 cycles | Max:  758640 cycles
Tested Co Rank :  83 | Events in Slice:   13047 | P50 (Median):   71 cycles | P95:  148 cycles | P99.9:  1158 cycles | Max:  758640 cycles
Tested Co Rank :  84 | Events in Slice:   14066 | P50 (Median):   71 cycles | P95:  148 cycles | P99.9:  1156 cycles | Max:  758640 cycles
Tested Co Rank :  85 | Events in Slice:   15354 | P50 (Median):   71 cycles | P95:  148 cycles | P99.9:  1154 cycles | Max:  758640 cycles
Tested Co Rank :  86 | Events in Slice:   13822 | P50 (Median):   71 cycles | P95:  148 cycles | P99.9:  1152 cycles | Max:  758640 cycles
Tested Co Rank :  87 | Events in Slice:   13838 | P50 (Median):   71 cycles | P95:  148 cycles | P99.9:  1152 cycles | Max:  758640 cycles
Tested Co Rank :  88 | Events in Slice:   15059 | P50 (Median):   71 cycles | P95:  148 cycles | P99.9:  1151 cycles | Max:  758640 cycles
Tested Co Rank :  89 | Events in Slice:   12805 | P50 (Median):   71 cycles | P95:  148 cycles | P99.9:  1149 cycles | Max:  758640 cycles
Tested Co Rank :  90 | Events in Slice:   12785 | P50 (Median):   71 cycles | P95:  149 cycles | P99.9:  1148 cycles | Max:  758640 cycles
Tested Co Rank :  91 | Events in Slice:   12281 | P50 (Median):   71 cycles | P95:  149 cycles | P99.9:  1146 cycles | Max:  758640 cycles
Tested Co Rank :  92 | Events in Slice:   10216 | P50 (Median):   71 cycles | P95:  149 cycles | P99.9:  1148 cycles | Max:  758640 cycles
Tested Co Rank :  93 | Events in Slice:   12926 | P50 (Median):   71 cycles | P95:  149 cycles | P99.9:  1146 cycles | Max:  758640 cycles
Tested Co Rank :  94 | Events in Slice:   14085 | P50 (Median):   71 cycles | P95:  149 cycles | P99.9:  1145 cycles | Max:  758640 cycles
Tested Co Rank :  95 | Events in Slice:   10343 | P50 (Median):   71 cycles | P95:  150 cycles | P99.9:  1146 cycles | Max:  758640 cycles
Tested Co Rank :  96 | Events in Slice:   10865 | P50 (Median):   71 cycles | P95:  150 cycles | P99.9:  1145 cycles | Max:  758640 cycles
Tested Co Rank :  97 | Events in Slice:   12504 | P50 (Median):   71 cycles | P95:  150 cycles | P99.9:  1144 cycles | Max:  758640 cycles
Tested Co Rank :  98 | Events in Slice:   13384 | P50 (Median):   71 cycles | P95:  150 cycles | P99.9:  1143 cycles | Max:  758640 cycles
Tested Co Rank :  99 | Events in Slice:   13764 | P50 (Median):   71 cycles | P95:  149 cycles | P99.9:  1141 cycles | Max:  758640 cycles
Tested Co Rank : 100 | Events in Slice:   13755 | P50 (Median):   71 cycles | P95:  149 cycles | P99.9:  1139 cycles | Max:  758640 cycles
Tested Co Rank : 101 | Events in Slice:   11926 | P50 (Median):   71 cycles | P95:  149 cycles | P99.9:  1138 cycles | Max:  758640 cycles
Tested Co Rank : 102 | Events in Slice:   11543 | P50 (Median):   71 cycles | P95:  149 cycles | P99.9:  1138 cycles | Max:  758640 cycles
Tested Co Rank : 103 | Events in Slice:   12538 | P50 (Median):   71 cycles | P95:  149 cycles | P99.9:  1136 cycles | Max:  758640 cycles
Tested Co Rank : 104 | Events in Slice:   13055 | P50 (Median):   71 cycles | P95:  148 cycles | P99.9:  1135 cycles | Max:  758640 cycles
Tested Co Rank : 105 | Events in Slice:   13144 | P50 (Median):   71 cycles | P95:  148 cycles | P99.9:  1134 cycles | Max:  758640 cycles
Tested Co Rank : 106 | Events in Slice:   13025 | P50 (Median):   71 cycles | P95:  148 cycles | P99.9:  1135 cycles | Max:  758640 cycles
Tested Co Rank : 107 | Events in Slice:   12857 | P50 (Median):   71 cycles | P95:  148 cycles | P99.9:  1135 cycles | Max:  758640 cycles
Tested Co Rank : 108 | Events in Slice:   10562 | P50 (Median):   71 cycles | P95:  148 cycles | P99.9:  1134 cycles | Max:  758640 cycles
Tested Co Rank : 109 | Events in Slice:   11905 | P50 (Median):   71 cycles | P95:  148 cycles | P99.9:  1133 cycles | Max:  758640 cycles
Tested Co Rank : 110 | Events in Slice:   11554 | P50 (Median):   71 cycles | P95:  148 cycles | P99.9:  1134 cycles | Max:  758640 cycles
Tested Co Rank : 111 | Events in Slice:   10825 | P50 (Median):   71 cycles | P95:  148 cycles | P99.9:  1135 cycles | Max:  758640 cycles
Tested Co Rank : 112 | Events in Slice:   10958 | P50 (Median):   71 cycles | P95:  148 cycles | P99.9:  1135 cycles | Max:  758640 cycles
Tested Co Rank : 113 | Events in Slice:   10095 | P50 (Median):   71 cycles | P95:  148 cycles | P99.9:  1135 cycles | Max:  758640 cycles
Tested Co Rank : 114 | Events in Slice:   10034 | P50 (Median):   71 cycles | P95:  149 cycles | P99.9:  1135 cycles | Max:  758640 cycles
Tested Co Rank : 115 | Events in Slice:   10518 | P50 (Median):   71 cycles | P95:  149 cycles | P99.9:  1134 cycles | Max:  758640 cycles
Tested Co Rank : 116 | Events in Slice:   10076 | P50 (Median):   71 cycles | P95:  149 cycles | P99.9:  1133 cycles | Max:  758640 cycles
Tested Co Rank : 117 | Events in Slice:   10651 | P50 (Median):   71 cycles | P95:  149 cycles | P99.9:  1133 cycles | Max:  758640 cycles
Tested Co Rank : 118 | Events in Slice:    9440 | P50 (Median):   71 cycles | P95:  149 cycles | P99.9:  1131 cycles | Max:  758640 cycles
Tested Co Rank : 119 | Events in Slice:   10210 | P50 (Median):   71 cycles | P95:  149 cycles | P99.9:  1132 cycles | Max:  758640 cycles
Tested Co Rank : 120 | Events in Slice:   11342 | P50 (Median):   71 cycles | P95:  149 cycles | P99.9:  1131 cycles | Max:  758640 cycles
Tested Co Rank : 121 | Events in Slice:    9778 | P50 (Median):   71 cycles | P95:  150 cycles | P99.9:  1131 cycles | Max:  758640 cycles
Tested Co Rank : 122 | Events in Slice:    8693 | P50 (Median):   71 cycles | P95:  150 cycles | P99.9:  1133 cycles | Max:  758640 cycles
Tested Co Rank : 123 | Events in Slice:    9591 | P50 (Median):   71 cycles | P95:  150 cycles | P99.9:  1132 cycles | Max:  758640 cycles
Tested Co Rank : 124 | Events in Slice:    9747 | P50 (Median):   71 cycles | P95:  150 cycles | P99.9:  1135 cycles | Max:  758640 cycles
Tested Co Rank : 125 | Events in Slice:    8232 | P50 (Median):   71 cycles | P95:  150 cycles | P99.9:  1135 cycles | Max:  758640 cycles
Tested Co Rank : 126 | Events in Slice:   10084 | P50 (Median):   71 cycles | P95:  150 cycles | P99.9:  1135 cycles | Max:  758640 cycles
Tested Co Rank : 127 | Events in Slice:    8361 | P50 (Median):   71 cycles | P95:  150 cycles | P99.9:  1135 cycles | Max:  758640 cycles
Tested Co Rank : 128 | Events in Slice:    7937 | P50 (Median):   71 cycles | P95:  150 cycles | P99.9:  1135 cycles | Max:  758640 cycles
Tested Co Rank : 129 | Events in Slice:    9097 | P50 (Median):   71 cycles | P95:  150 cycles | P99.9:  1135 cycles | Max:  758640 cycles
Tested Co Rank : 130 | Events in Slice:    9413 | P50 (Median):   71 cycles | P95:  150 cycles | P99.9:  1134 cycles | Max:  758640 cycles
Tested Co Rank : 131 | Events in Slice:   10144 | P50 (Median):   71 cycles | P95:  150 cycles | P99.9:  1135 cycles | Max:  758640 cycles
